Rank,Priority,prop_screened,prop_found
62,Very high,0.07200929152148665,0.19540229885057472
63,Very high,0.07317073170731707,0.19923371647509577
64,Very high,0.0743321718931475,0.20306513409961685
65,Very high,0.07549361207897794,0.20306513409961685
66,Very high,0.07665505226480836,0.20689655172413793
67,Very high,0.07781649245063879,0.20689655172413793
68,High,0.07897793263646923,0.20689655172413793
69,Very high,0.08013937282229965,0.210727969348659
70,Very high,0.08130081300813008,0.21455938697318008
71,Very high,0.08246225319396051,0.21839080459770116
72,Very high,0.08362369337979095,0.21839080459770116
73,High,0.08478513356562137,0.2222222222222222
74,Very high,0.0859465737514518,0.2222222222222222
75,Very high,0.08710801393728224,0.2260536398467433
76,High,0.08826945412311266,0.22988505747126436
77,Very high,0.08943089430894309,0.22988505747126436
78,High,0.09059233449477352,0.22988505747126436
79,Very high,0.09175377468060394,0.23371647509578544
